id,gsn,shardId,latency (ns),dataGenTime (ns),totalBytes,totalTime (ns)
242,30243,0,20193468,491,1000000,81296251770
243,30244,0,19915848,672,1000000,81296251770
244,30245,0,19090077,585,1000000,81296251770
245,30246,0,10873445,585,1000000,81296251770
246,30247,0,19865278,699,1000000,81296251770
247,30248,0,19931321,608,1000000,81296251770
248,30249,0,19677317,582,1000000,81296251770
249,30250,0,20033159,594,1000000,81296251770
250,30251,0,20201098,598,1000000,81296251770
251,30252,0,19979863,688,1000000,81296251770
252,30253,0,20708600,605,1000000,81296251770
253,30254,0,19248303,698,1000000,81296251770
254,30255,0,19909924,588,1000000,81296251770
255,30256,0,20099474,701,1000000,81296251770
256,30257,0,20266912,582,1000000,81296251770
257,30258,0,19703932,508,1000000,81296251770
258,30259,0,20234067,622,1000000,81296251770
259,30260,0,19950039,655,1000000,81296251770
260,30261,0,19954879,471,1000000,81296251770
261,30262,0,20013650,581,1000000,81296251770
262,30263,0,19708127,598,1000000,81296251770
263,30264,0,20351556,602,1000000,81296251770
264,30265,0,20051057,661,1000000,81296251770
265,30266,0,19794364,672,1000000,81296251770
266,30267,0,19884775,578,1000000,81296251770
267,30268,0,19991509,671,1000000,81296251770
268,30269,0,19398819,599,1000000,81296251770
269,30270,0,10765457,601,1000000,81296251770
270,30271,0,19823614,701,1000000,81296251770
271,30272,0,20182133,658,1000000,81296251770
272,30273,0,19919353,682,1000000,81296251770
273,30274,0,20560702,668,1000000,81296251770
274,30275,0,19687908,612,1000000,81296251770
275,30276,0,19710530,685,1000000,81296251770
276,30277,0,20465229,725,1000000,81296251770
277,30278,0,19626936,651,1000000,81296251770
278,30279,0,20061655,605,1000000,81296251770
279,30280,0,20182212,671,1000000,81296251770
280,30281,0,19508863,671,1000000,81296251770
281,30282,0,20330886,588,1000000,81296251770
282,30283,0,20069444,668,1000000,81296251770
283,30284,0,19788165,665,1000000,81296251770
284,30285,0,20025496,591,1000000,81296251770
285,30286,0,20477529,585,1000000,81296251770
